N,rep,method,est,ci_half,theta_true
200,20,baseline,-0.621991799,0.14389834652953612,-0.570573283
200,21,oracle,-0.647968104,0.07006310934777374,-0.666228848
200,21,proposed,-0.70509048,0.12279695715880816,-0.666228848
200,21,baseline,-0.790493664,0.18636443305820735,-0.666228848
200,22,oracle,-0.438295631,0.0723855048712236,-0.404908001
200,22,proposed,-0.416102614,0.1124150050609326,-0.404908001
200,22,baseline,-0.368907445,0.1378156925709282,-0.404908001
200,23,oracle,-0.558478542,0.06865176452640487,-0.537986349
200,23,proposed,-0.601211604,0.1303247084928526,-0.537986349
200,23,baseline,-0.591116864,0.16064983393760268,-0.537986349
200,24,oracle,-0.602182544,0.06501741599990037,-0.608855857
200,24,proposed,-0.586246492,0.11226416492894538,-0.608855857
200,24,baseline,-0.78559845,0.13500608286035817,-0.608855857
200,25,oracle,-0.817102096,0.06957283069270549,-0.772775998
200,25,proposed,-0.803297461,0.12564777872735144,-0.772775998
200,25,baseline,-0.992912436,0.179874702395967,-0.772775998
200,26,oracle,-0.507766788,0.06264816861115555,-0.558615332
200,26,proposed,-0.3969681,0.11050891448125852,-0.558615332
200,26,baseline,-0.433629348,0.14014501566572157,-0.558615332
200,27,oracle,-0.397860667,0.07364125899358631,-0.433518763
200,27,proposed,-0.371184307,0.11678243942132217,-0.433518763
200,27,baseline,-0.352284492,0.1333478084550398,-0.433518763
200,28,oracle,0.9193045993334832,0.0736883112304738,0.9292665667133864
200,28,proposed,0.9130980803807535,0.12581552620711672,0.9292665667133864
200,28,baseline,0.9107801350309407,0.14437868412875388,0.9292665667133864
200,29,oracle,0.6525587091838192,0.06663097054166273,0.6596687436252913
200,29,proposed,0.6326637342295655,0.11461506682616013,0.6596687436252913
200,29,baseline,0.46489265092496235,0.11522716374262804,0.6596687436252913
500,0,oracle,0.9692010151093581,0.04525117786083641,0.9702987574143964
500,0,proposed,0.8985834042447199,0.07749651246724353,0.9702987574143964
500,0,baseline,0.87323968849904,0.09578516238864827,0.9702987574143964
500,1,oracle,0.6079196079152465,0.04467246029423401,0.6225635937850558
500,1,proposed,0.6395257472732914,0.07229400942454067,0.6225635937850558
500,1,baseline,0.6052027801773918,0.09977272018756736,0.6225635937850558
500,2,oracle,0.7589584143692685,0.044139516484768576,0.7617747929693574
500,2,proposed,0.6817842167234753,0.07762617516331158,0.7617747929693574
500,2,baseline,0.6603063378466371,0.10221947009791285,0.7617747929693574
500,3,oracle,-0.700732578,0.042826477604521566,-0.694612153
500,3,proposed,-0.706067657,0.07182569221496105,-0.694612153
